"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"21","ERK-1-3-A","ERK","ERKEN","1","3","A",13.935590983798,-50.7009210061724,1.99428961271219,-54.1162244001474,439.732163952611,-9.70183349753891,417.515475325092,-7.47197478345802,"ERK-1-3-A","ERK-1-3-A","gleon",20.9,17.6,101.325,0.14,0.035,0,492.700132786835,32.2456820113751,123.962240354719,11.3709908007229,18.800636872078,1.23044285529074,0.18964989761643,0.0173964848891371,118.007633705841,6215.85950027255,-11.5015375231526,0.411693141297601,-49.869146847874,0.578736912250962
"22","ERK-1-4-A","ERK","ERKEN","1","4","A",10.4442479010148,-51.2039717021872,1.99428961271219,-54.1162244001474,425.410290291429,-10.1708039711645,417.515475325092,-7.47197478345802,"ERK-1-4-A","ERK-1-4-A","gleon",20.7,17.5,101.325,0.14,0.035,0,470.387791378215,31.1526044926852,88.044474182931,8.50594921941004,18.0525201744905,1.19557316622603,0.135232511882261,0.0130647708394944,112.663558401507,4414.82890056237,-12.1514283851252,0.42645509053762,-50.2737261488899,0.608716876606005
"23","ERK-1-5-A","ERK","ERKEN","1","5","A",9.50874482798866,-51.0422844197734,1.99428961271219,-54.1162244001474,418.654685108719,-9.92964586917045,417.515475325092,-7.47197478345802,"ERK-1-5-A","ERK-1-5-A","gleon",20.2,17.3,101.325,0.14,0.035,0,456.665018686359,30.0746806786261,77.8442630363597,7.6552315046069,17.7805339831418,1.17097622974646,0.120762189750077,0.0118757951258181,109.376788568324,3903.3579947545,-11.8458454555928,0.423865034738188,-50.0023072875114,0.621872891284856
"24","ERK-1-6-A","ERK","ERKEN","1","6","A",9.24425566308769,-51.4124985491281,1.99428961271219,-54.1162244001474,416.259036216748,-10.1666573317064,417.515475325092,-7.47197478345802,"ERK-1-6-A","ERK-1-6-A","gleon",20.2,17.2,101.325,0.14,0.035,0,454.573706076525,30.1084276924936,75.2225036054613,7.38709023536193,17.6991074376282,1.17229019053248,0.116694974035987,0.0114598193612166,108.875893934848,3771.89466996022,-12.1654819908972,0.427030590496637,-50.4360410039072,0.617311702750502
"25","ERK-2-1-A","ERK","ERKEN","2","1","A",14.8983686462124,-48.6713554090467,2.05094842625123,-51.7343162753153,226.075832664663,-9.0757018015803,406.738451906995,-7.1628949596904,"ERK-2-1-A","ERK-2-1-A","gleon",24.2,20.6,101.325,0.14,0.035,0,178.227351868542,17.007465970721,139.574670997462,12.7776680188062,6.20296429343757,0.59192207611349,0.200593368406601,0.0183637579079104,43.818663082608,6805.37205182579,-11.9057338032613,0.62582703194081,-47.9082786765952,0.569059487995403
"26","ERK-2-2-A","ERK","ERKEN","2","2","A",14.6893647145876,-48.5181127769588,2.05094842625123,-51.7343162753153,280.16894360165,-9.24453671303041,406.738451906995,-7.1628949596904,"ERK-2-2-A","ERK-2-2-A","gleon",25.9,21.4,101.325,0.14,0.035,0,264.430411565882,21.4281780483954,140.971280838385,12.8489592432337,8.79383414208132,0.712610333314966,0.196553954455562,0.0179150940168536,65.0123956380567,6873.46785682247,-11.6646406486851,0.524339874887048,-47.7252837836946,0.571723616592847
"27","ERK-2-3-A","ERK","ERKEN","2","3","A",13.7958139126699,-50.2331520392808,2.05094842625123,-51.7343162753153,276.686685804089,-9.31920630766502,406.738451906995,-7.1628949596904,"ERK-2-3-A","ERK-2-3-A","gleon",24,20.7,101.325,0.14,0.035,0,252.070946804821,20.6260163198391,127.252114630301,11.7677827948219,8.82081751317205,0.721774279373359,0.183552174651657,0.0169741943314125,61.9737193823168,6204.54970985767,-11.7888696449199,0.524594423584742,-49.6712733538198,0.583212454952721
"28","ERK-2-4-A","ERK","ERKEN","2","4","A",12.3187837442637,-50.4201999707612,2.05094842625123,-51.7343162753153,261.267034568458,-9.76865726740746,406.738451906995,-7.1628949596904,"ERK-2-4-A","ERK-2-4-A","gleon",24,20.8,101.325,0.14,0.035,0,228.266395050643,19.532494646662,111.464189113328,10.4432949259651,7.98781549660469,0.68350824654387,0.160779208793306,0.0150637142632839,56.1211741797254,5434.76314112222,-12.6970070305764,0.556117245469579,-49.8585414377536,0.584595512808459
"29","ERK-2-5-A","ERK","ERKEN","2","5","A",8.84987911635025,-52.1406002373005,2.05094842625123,-51.7343162753153,372.730612033892,-9.62463215784729,406.738451906995,-7.1628949596904,"ERK-2-5-A","ERK-2-5-A","gleon",24,20.2,101.325,0.14,0.035,0,401.263368429507,27.7614656889153,74.7894590869688,7.60646758080332,14.0415664419194,0.971467857934933,0.10787850478019,0.0109717914702638,98.6539056113781,3646.57921816545,-11.7092695782608,0.449067371249188,-51.9175614991418,0.630971820994406
"30","ERK-2-6-A","ERK","ERKEN","2","6","A",11.1881083663842,-51.3030606800542,2.05094842625123,-51.7343162753153,395.952661561281,-10.0266168858532,406.738451906995,-7.1628949596904,"ERK-2-6-A","ERK-2-6-A","gleon",23.9,20.2,101.325,0.14,0.035,0,435.103722030038,29.7502836416023,99.5693255477809,9.47895732341908,15.2673027636582,1.0439041650618,0.143884921751277,0.0136977831803164,106.973835394724,4854.79421487823,-12.1802756588056,0.435327098442225,-50.8879368384237,0.597658621766928
