"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"22","GFU-2-2-A","GFU","GROSSE FUCHSKUHLE","2","2","A",28.5449448229278,-37.5158283543814,1.99331163564057,-52.202115292402,479.620098605773,-8.0296309952701,405.564397090066,-6.98633404648449,"GFU-2-2-A","GFU-2-2-A","gleon",20,20,101.325,0.14,0.035,0,505.823901014626,32.7197438948085,264.764335516895,22.5782366409327,19.8091911416592,1.28137808359447,0.412390251417636,0.0351672919494362,124.720982572416,13282.6363315644,-9.42361908053866,0.405086119687946,-36.2021524522199,0.540784157879217
"23","GFU-2-3-A","GFU","GROSSE FUCHSKUHLE","2","3","A",22.1770983357668,-32.7853939119844,1.99331163564057,-52.202115292402,346.206778079171,-5.4064104219601,405.564397090066,-6.98633404648449,"GFU-2-3-A","GFU-2-3-A","gleon",20,20,101.325,0.14,0.035,0,325.203731883038,23.3562683663613,201.744274583276,17.6045632983827,12.7357028245008,0.914683516332619,0.314231793927385,0.027420423791385,80.1854734331667,10121.0603989899,-5.80722834939646,0.458311795567618,-30.7486271075855,0.568257419540616
"24","GFU-2-4-A","GFU","GROSSE FUCHSKUHLE","2","4","A",21.214789545114,-30.0205203684456,1.99331163564057,-52.202115292402,334.173856131503,-5.58008615199223,405.564397090066,-6.98633404648449,"GFU-2-4-A","GFU-2-4-A","gleon",20,20,101.325,0.14,0.035,0,308.913091722397,22.6272560431401,192.22068466223,16.8136942861645,12.0977250537494,0.886133769224295,0.299398090459463,0.0261885861643483,76.1686908266248,9643.28312870443,-6.02481841556848,0.465028919667605,-27.6441126864815,0.580628626441695
"25","GFU-2-5-A","GFU","GROSSE FUCHSKUHLE","2","5","A",16.1025607699689,-28.6320517341089,1.99331163564057,-52.202115292402,275.128938014301,-4.46462038420777,405.564397090066,-6.98633404648449,"GFU-2-5-A","GFU-2-5-A","gleon",20,20,101.325,0.14,0.035,0,228.975773210313,18.6841678607047,141.626976166615,12.6840778947092,8.96720152850419,0.731713649222843,0.220594606123388,0.0197563998254826,56.4585488403862,7105.1095892039,-3.98220271743409,0.526513076846095,-25.3507454804468,0.628039022467222
"26","GFU-3-1-A","GFU","GROSSE FUCHSKUHLE","3","1","A",112.243109542332,-34.6756938828497,2.38894607954802,-55.4093824132252,2005.38734073627,-11.9686432169534,471.361900795792,-9.64712203981165,"GFU-3-1-A","GFU-3-1-A","gleon",20,20,101.325,0.14,0.035,0,2548.18551421422,135.669716298232,1089.57220170525,88.6419543647199,99.792623112954,5.31312841661994,1.69709018143127,0.138066472492421,540.600653110097,45608.9072513263,-13.2185936350249,0.332076863404278,-33.9412565772931,0.507453248133981
"27","GFU-3-2-A","GFU","GROSSE FUCHSKUHLE","3","2","A",95.061595189,-33.3294973853855,2.38894607954802,-55.4093824132252,1826.86766069271,-12.0639960224167,471.361900795792,-9.64712203981165,"GFU-3-2-A","GFU-3-2-A","gleon",20,20,101.325,0.14,0.035,0,2306.49859213243,123.081936939049,919.533542063887,75.5948329015886,90.32762466912,4.82016292630816,1.43224225369462,0.117744605161034,489.326478919575,38491.1802713379,-13.3367636958897,0.336830430986103,-32.4891570617283,0.508756078732615
"28","GFU-3-3-A","GFU","GROSSE FUCHSKUHLE","3","3","A",78.6658908170052,-31.1895635751282,2.38894607954802,-55.4093824132252,1572.08976029333,-12.4370887112872,471.361900795792,-9.64712203981165,"GFU-3-3-A","GFU-3-3-A","gleon",20,20,101.325,0.14,0.035,0,1961.57031001273,106.166927320355,757.271733357286,62.3003525738092,76.8194645031658,4.15773345623452,1.17950735283511,0.0970374579006737,416.149524749676,31698.9880952256,-13.7723109652103,0.34263216366628,-30.1798126663183,0.517473387492505
"29","GFU-3-4-A","GFU","GROSSE FUCHSKUHLE","3","4","A",72.2735720589533,-28.9725182236943,2.38894607954802,-55.4093824132252,1669.47031877824,-10.9146148468756,471.361900795792,-9.64712203981165,"GFU-3-4-A","GFU-3-4-A","gleon",20,20,101.325,0.14,0.035,0,2093.40791718903,113.197163511947,694.009480026939,57.4166408088537,81.9825189870994,4.43305317167483,1.08097166257602,0.0894307116269756,444.119033306418,29050.8641433315,-12.1135986990011,0.338125961568739,-27.8329094798635,0.519415932671219
"30","GFU-3-5-A","GFU","GROSSE FUCHSKUHLE","3","5","A",67.5056884643918,-30.7732995361855,2.38894607954802,-55.4093824132252,1622.36681126237,-10.4006451336639,471.361900795792,-9.64712203981165,"GFU-3-5-A","GFU-3-5-A","gleon",20,20,101.325,0.14,0.035,0,2029.63734719928,110.208363380907,646.823619742855,53.0149213946481,79.4851213599694,4.31600509830141,1.00747615666537,0.0825747044825455,430.59002939624,27075.689371157,-11.5605661981192,0.336254883849732,-29.6338003084574,0.519673495683913
"31","SRO-1-1-A","SRO","SAN ROQUE","1","1","A",28.8244930753299,-22.1321538376289,2.27030434634975,-47.6643308999015,783.853890379793,-13.7651331882629,457.588214301404,-8.06797189368399,"SRO-1-1-A","SRO-1-1-A","gleon",20,20,101.325,0.14,0.035,0,899.299441954718,53.1551694763776,265.06661941412,22.6673578703782,35.2185701457263,2.08167488766888,0.412861081192094,0.0353061049287066,196.530289427946,11675.3782302492,-15.888867390757,0.380814911139909,-19.8566092237637,0.565341371464789
